each,acc,F1,recall,precision
0,0.4976958525345622,0.4999746545413993,0.33369029770828873,0.4954044117647059
1,0.6529897001184942,0.5283585430860792,0.4071009536519587,0.5271139705882353
2,0.7363619465043927,0.7040955112419587,0.6932716315815353,0.7035845588235294
3,0.7311819972619669,0.7288345584849742,0.7278143403654143,0.7284007352941176
4,0.7383280915288497,0.734889068932627,0.7335373971524284,0.734375
5,0.7360266412940057,0.7357536764705883,0.7356772541531227,0.7357536764705882
6,0.731098958952499,0.7299143046375518,0.7294665398033618,0.7297794117647058
7,0.7228280958837715,0.7225509949775913,0.7223664287259356,0.7224264705882353
8,0.7255610273700064,0.7226812240649879,0.7219388549787691,0.7228860294117647
9,0.7188359995028675,0.7186673932051753,0.7186642025447383,0.71875
10,0.7205263375791784,0.7159926470588236,0.7145254148056315,0.7159926470588235
11,0.7224812472733895,0.7218736060986983,0.7217482465011926,0.7219669117647058
12,0.7069679690011675,0.7066707218167072,0.706646584155947,0.7068014705882353
13,0.7074492553619689,0.7072468432759476,0.7071852744261369,0.7072610294117647
