each,acc,F1,recall,precision
0,0.5046421910995722,0.5021449347353553,0.4239554694728146,0.5004595588235294
1,0.5682912031084467,0.555055718460209,0.5329600597237776,0.5560661764705882
2,0.7392105184342148,0.7361732074846828,0.7356853632183075,0.7366727941176471
3,0.7506637904531053,0.7500234425884673,0.7498459444723862,0.75
4,0.7334015007342453,0.7250436134308247,0.7229891545283005,0.7256433823529411
5,0.7332343141230189,0.723525535698446,0.7208202374245654,0.7238051470588235
6,0.7215441505443403,0.7208795340015798,0.7207830821646903,0.7210477941176471
